id;user_id;ip_escuela;ip_ministerio;Observacion;created_at;updated_at
136;;10.2.2.136;10.95.10.136;libre;;
137;;10.2.2.137;10.95.10.137;libre;;
138;;10.2.2.138;10.95.10.138;libre;;
139;;10.2.2.139;10.95.10.139;libre;;
140;;10.2.2.140;10.95.10.140;libre;;
141;;10.2.2.141;10.95.10.141;libre;;
142;;10.2.2.142;10.95.10.142;libre;;
143;;10.2.2.143;10.95.10.143;libre;;
144;;10.2.2.144;10.95.10.144;libre;;
145;;10.2.2.145;10.95.10.145;libre;;
146;;10.2.2.146;10.95.10.146;libre;;
147;;10.2.2.147;10.95.10.147;libre;;
148;;10.2.2.148;10.95.10.148;libre;;
149;;10.2.2.149;10.95.10.149;libre;;
150;;10.2.2.150;10.95.10.150;libre;;
151;;10.2.2.151;10.95.10.151;libre;;
152;;10.2.2.152;10.95.10.152;libre;;
153;;10.2.2.153;10.95.10.153;libre;;
154;;10.2.2.154;10.95.10.154;libre;;
155;;10.2.2.155;10.95.10.155;libre;;
156;;10.2.2.156;10.95.10.156;libre;;
157;;10.2.2.157;10.95.10.157;libre;;
158;;10.2.2.158;10.95.10.158;libre;;
159;;10.2.2.159;10.95.10.159;libre;;
160;;10.2.2.160;10.95.10.160;libre;;
161;;10.2.2.161;10.95.10.161;libre;;
162;;10.2.2.162;10.95.10.162;libre;;
163;;10.2.2.163;10.95.10.163;libre;;
164;;10.2.2.164;10.95.10.164;libre;;
165;;10.2.2.165;10.95.10.165;libre;;
166;;10.2.2.166;10.95.10.166;libre;;
167;;10.2.2.167;10.95.10.167;libre;;
168;;10.2.2.168;10.95.10.168;libre;;
169;;10.2.2.169;10.95.10.169;libre;;
170;;10.2.2.170;10.95.10.170;libre;;
171;;10.2.2.171;10.95.10.171;libre;;
172;;10.2.2.172;10.95.10.172;libre;;
173;;10.2.2.173;10.95.10.173;libre;;
174;;10.2.2.174;10.95.10.174;libre;;
175;;10.2.2.175;10.95.10.175;libre;;
176;;10.2.2.176;10.95.10.176;libre;;
177;;10.2.2.177;10.95.10.177;libre;;
178;;10.2.2.178;10.95.10.178;libre;;
179;;10.2.2.179;10.95.10.179;libre;;
180;;10.2.2.180;10.95.10.180;libre;;
181;;10.2.2.181;10.95.10.181;libre;;
182;;10.2.2.182;10.95.10.182;libre;;
183;;10.2.2.183;10.95.10.183;libre;;
184;;10.2.2.184;10.95.10.184;libre;;
185;;10.2.2.185;10.95.10.185;libre;;
186;;10.2.2.186;10.95.10.186;libre;;
187;;10.2.2.187;10.95.10.187;libre;;
188;1;10.2.2.188;10.95.10.188;Ocupado;;
189;;10.2.2.189;10.95.10.189;libre;;
190;;10.2.2.190;10.95.10.190;libre;;
191;;10.2.2.191;10.95.10.191;libre;;
192;;10.2.2.192;10.95.10.192;libre;;
193;;10.2.2.193;10.95.10.193;libre;;
194;;10.2.2.194;10.95.10.194;libre;;
195;;10.2.2.195;10.95.10.195;libre;;
196;;10.2.2.196;10.95.10.196;libre;;
197;;10.2.2.197;10.95.10.197;libre;;
198;;10.2.2.198;10.95.10.198;libre;;
199;;10.2.2.199;10.95.10.199;libre;;
200;;10.2.2.200;10.95.10.200;libre;;
201;;10.2.2.201;10.95.10.201;libre;;
202;;10.2.2.202;10.95.10.202;libre;;
203;;10.2.2.203;10.95.10.203;libre;;
204;;10.2.2.204;10.95.10.204;libre;;
205;;10.2.2.205;10.95.10.205;libre;;
206;;10.2.2.206;10.95.10.206;libre;;
207;;10.2.2.207;10.95.10.207;libre;;
208;;10.2.2.208;10.95.10.208;libre;;
209;;10.2.2.209;10.95.10.209;libre;;
210;;10.2.2.210;10.95.10.210;libre;;
211;;10.2.2.211;10.95.10.211;libre;;
212;;10.2.2.212;10.95.10.212;libre;;
213;;10.2.2.213;10.95.10.213;libre;;
214;;10.2.2.214;10.95.10.214;libre;;
215;;10.2.2.215;10.95.10.215;libre;;
216;;10.2.2.216;10.95.10.216;libre;;
217;;10.2.2.217;10.95.10.217;libre;;
218;;10.2.2.218;10.95.10.218;libre;;
219;;10.2.2.219;10.95.10.219;libre;;
220;;10.2.2.220;10.95.10.220;libre;;
221;;10.2.2.221;10.95.10.221;libre;;
222;;10.2.2.222;10.95.10.222;libre;;
223;;10.2.2.223;10.95.10.223;libre;;
224;;10.2.2.224;10.95.10.224;libre;;
225;;10.2.2.225;10.95.10.225;libre;;
226;;10.2.2.226;10.95.10.226;libre;;
227;;10.2.2.227;10.95.10.227;libre;;
228;;10.2.2.228;10.95.10.228;libre;;
229;;10.2.2.229;10.95.10.229;libre;;
230;;10.2.2.230;10.95.10.230;libre;;
231;;10.2.2.231;10.95.10.231;libre;;
232;;10.2.2.232;10.95.10.232;libre;;
233;;10.2.2.233;10.95.10.233;libre;;
234;;10.2.2.234;10.95.10.234;libre;;
235;;10.2.2.235;10.95.10.235;libre;;
236;;10.2.2.236;10.95.10.236;libre;;
237;;10.2.2.237;10.95.10.237;libre;;
238;;10.2.2.238;10.95.10.238;libre;;
239;;10.2.2.239;10.95.10.239;libre;;
240;;10.2.2.240;10.95.10.240;libre;;
241;;10.2.2.241;10.95.10.241;libre;;
242;;10.2.2.242;10.95.10.242;libre;;
243;;10.2.2.243;10.95.10.243;libre;;
244;;10.2.2.244;10.95.10.244;libre;;
245;;10.2.2.245;10.95.10.245;libre;;
246;;10.2.2.246;10.95.10.246;libre;;
247;;10.2.2.247;10.95.10.247;libre;;
248;;10.2.2.248;10.95.10.248;libre;;
249;;10.2.2.249;10.95.10.249;libre;;
250;;10.2.2.250;10.95.10.250;libre;;
251;;10.2.2.251;10.95.10.251;libre;;
252;;10.2.2.252;10.95.10.252;libre;;
253;;10.2.2.253;10.95.10.253;libre;;
254;;10.2.2.254;10.95.10.254;libre;;
255;;10.2.2.255;10.95.10.255;libre;;
